Sun,1988500E+24,-5.707635732206901E+05,1.112398368209006E+06,3.514157896232675E+03,-1.248711702809876E+03,-3.009293919742352E+02,3.443953615235284E+01
Mercury,3.302E+23,-3.352529643092528E+06,-6.814249556832395E+07,-5.400413878633931E+06,3.359976734862317E+06,4.627777340005110E+04,-3.045017257339164E+05
Venus,48.685E+23,1.069886126138797E+08,1.496653127942356E+07,-6.013328337655190E+06,-3.994929990212522E+05,2.987036010146743E+06,6.400652485600989E+04
Earth,5.97219E+24,-3.059662755101376E+07,1.451085803964556E+08,-2.566270403116941E+03,-2.562659428477704E+06,-5.363058617024239E+05,6.163482741527559E+01
Mars,6.4171E+23,-1.955374802312297E+08,-1.344937870042304E+08,1.945586924262516E+06,1.272497627100171E+06,-1.539740003487156E+06,-6.347588191333679E+04
Jupiter,1898.13E+24,8.036053735262376E+07,-7.766121901324662E+08,1.423037994066596E+06,1.109057028268466E+06,1.698195572778494E+05,-2.552245125396386E+04
Saturn,5.6834E+26,5.689437015419297E+08,-1.387738775037614E+09,1.480439981512547E+06,7.259041407467769E+05,3.142396831891477E+05,-3.440315139135435E+04
Uranus,86.813E+24,2.426046645300713E+09,1.704300701302768E+09,-2.509990323690581E+07,-3.425335478544711E+05,4.540330285412287E+05,6.122882800027221E+03
Pluto,1.307E+22,1.941610632398163E+09,-4.691636030495266E+09,-5.959364858534837E+07,4.461248800782042E+05,8.080372371007725E+04,-1.379093573524347E+05
Halley_comet,2.2E+14,-3.038442139630357E+09,3.978648372729973E+09,-1.491699101936665E+09,3.252854285175469E+04,8.685221828523833E+04,-5.481524626744553E+03
Neptune,102.413E+24,4.374287420846722E+09,-9.504818120493698E+08,-8.123647044278306E+07,9.655864105534038E+04,4.617227214193429E+05,-1.167278759992149E+04
Moon,7.349E+22,-3.019998407740704E+07,1.451757181802235E+08,-3.977472472652048E+04,-2.577791566871316E+06,-4.541707153775772E+05,3.721394058925711E+02
