-5.707635732206901E+05,1.112398368209006E+06,3.514157896232675E+03,-1.445268174548468E-02,-3.482979073775870E+03,3.986057425040837E-04,1988500E+24,Sun
-3.352529643092528E+06,-6.814249556832395E+07,-5.400413878633931E+06,3.888861961646201E+01,5.356223773154063E-01,-3.524325529327736E+00,3.302E+23,Mercury
1.069886126138797E+08,1.496653127942356E+07,-6.013328337655190E+06,-4.623761562745974E+00,3.457217604336508E+01,7.408162599075219E-01,48.685E+23,Venus
-3.059662755101376E+07,1.451085803964556E+08,-2.566270403116941E+03,-2.966041005182527E+01,-6.207243769703980E+00,7.133660580471712E-04,5.97219E+24,Earth
-1.955374802312297E+08,-1.344937870042304E+08,1.945586924262516E+06,1.472798179514087E+01,-1.782106485517541E+01,-7.346745591821389E-01,6.4171E+23,Mars
8.036055254810001E+07,-7.766121855888888E+08,1.423070752336502E+06,1.283630819246911E+01,1.965504380489763E+00,-2.953991320901129E-01,1898.13E+24,Jupiter
5.689437015419297E+08,-1.387738775037614E+09,1.480439981512547E+06,8.401668295680288E+00,3.637033370244765E+00,-3.981846225851198E-01,5.6834E+26,Saturn
2.426046645300713E+09,1.704300701302768E+09,-2.509990323690581E+07,-3.964508655723045E+00,5.255011904412369E+00,7.086669907438914E-02,86.813E+24,Uranus
4.374287420846722E+09,-9.504818120493698E+08,-8.123647044278306E+07,1.117576864066440E+00,5.344012979390542E+00,-1.351017083324246E-01,102.413E+24,Neptune
1.941610632398163E+09,-4.691636030495266E+09,-5.959364858534837E+07,5.163482408312548E+00,9.352282836814496E-01,-1.596173117505031E+00,1.307E+22,Pluto
-3.038442139630357E+09,3.978648372729973E+09,-1.491699101936665E+09,3.764877644879015E-01,1.005234007930999E+00,-6.344357206880269E-02,2.2E+14,Halley_comet
-3.059180810106258E+07,1.451093961597549E+08,-3.018374862931669E+03,-2.966253811111620E+01,-6.195692959322684E+00,7.570328641461899E-04,7.34767309E+22,Moon
